type,question,answer,explanation
2-hop_CoActor,Logan Marshall-Green và LaKeith Stanfield có từng đóng chung phim nào không?,Yes,"Có, họ cùng đóng trong phim 'Snowden'."
2-hop_CoActor,Emily Stofle và Bebe Buell có từng đóng chung phim nào không?,No,"Không, không tìm thấy phim chung nào giữa họ."
1-hop_YesNo,Martha Lynch Levacy có tham gia bộ phim 'Moonrise Kingdom' không?,No,"Sai, Martha Lynch Levacy không tham gia phim Moonrise Kingdom."
2-hop_CoActor,Mark Moses và Rob Delaney có từng đóng chung phim nào không?,Yes,"Có, họ cùng đóng trong phim 'Bombshell'."
Family,Cha/Mẹ của Martin Scorsese là ai?,Charles Scorsese,Charles Scorsese là cha/mẹ của Martin Scorsese.
2-hop_CoActor,Emily Stofle và Jakob Dylan có từng đóng chung phim nào không?,No,"Không, không tìm thấy phim chung nào giữa họ."
Family,Cha/Mẹ của Jake Kasdan là ai?,Lawrence Kasdan,Lawrence Kasdan là cha/mẹ của Jake Kasdan.
Family_YesNo,"Jimmy Fallon có phải là cha/mẹ của James Fallon, Sr. không?",No,"Sai, Jimmy Fallon là con của James Fallon, Sr.."
1-hop_YesNo,Natalie Portman có tham gia bộ phim 'Heat' không?,Yes,"Đúng, Natalie Portman là diễn viên trong phim Heat."
2-hop_CoActor,Emily Stofle và James Garfield Davis có từng đóng chung phim nào không?,No,"Không, không tìm thấy phim chung nào giữa họ."
2-hop_CoActor,Emily Stofle và Danny DeVito có từng đóng chung phim nào không?,No,"Không, không tìm thấy phim chung nào giữa họ."
Family,Cha/Mẹ của Charlie Day là ai?,Mary Adelaide Peckham,Mary Adelaide Peckham là cha/mẹ của Charlie Day.
Family,Cha/Mẹ của Jason Bateman là ai?,Kent Bateman,Kent Bateman là cha/mẹ của Jason Bateman.
Family,Cha/Mẹ của Stephen Colbert là ai?,"James William Colbert, Jr.","James William Colbert, Jr. là cha/mẹ của Stephen Colbert."
Family_YesNo,John Travolta có phải là cha/mẹ của Helen Cecilia Travolta không?,No,"Sai, John Travolta là con của Helen Cecilia Travolta."
1-hop_YesNo,Martha Lynch Levacy có tham gia bộ phim 'Little Miss Sunshine' không?,No,"Sai, Martha Lynch Levacy không tham gia phim Little Miss Sunshine."
2-hop_CoActor,Nicole Kidman và John Lithgow có từng đóng chung phim nào không?,Yes,"Có, họ cùng đóng trong phim 'Bombshell'."
1-hop_YesNo,Q3959303 có tham gia bộ phim 'Joker' không?,Yes,"Đúng, Q3959303 là diễn viên trong phim Joker."
Family,Cha/Mẹ của Brian Wilson là ai?,Audree Wilson,Audree Wilson là cha/mẹ của Brian Wilson.
Family,Cha/Mẹ của James Cromwell là ai?,Kay Johnson,Kay Johnson là cha/mẹ của James Cromwell.
MCQ_Director,"Ai là đạo diễn của phim '300'?
A. Matt Reeves
B. Sam Raimi
C. M. Night Shyamalan
D. Zack Snyder",D,Đạo diễn của '300' là Zack Snyder.
MCQ_Director,"Ai là đạo diễn của phim 'Superman'?
A. Terrence Malick
B. Linh Nga
C. Richard Linklater
D. James Gunn",D,Đạo diễn của 'Superman' là James Gunn.
1-hop_YesNo,Corey Hawkins có tham gia bộ phim 'BlacKkKlansman' không?,Yes,"Đúng, Corey Hawkins là diễn viên trong phim BlacKkKlansman."
2-hop_CoActor,Emily Stofle và Liv Tyler có từng đóng chung phim nào không?,No,"Không, không tìm thấy phim chung nào giữa họ."
1-hop_YesNo,Donald Trump có tham gia bộ phim 'Bombshell' không?,Yes,"Đúng, Donald Trump là diễn viên trong phim Bombshell."
1-hop_YesNo,Taylor Swift có tham gia bộ phim 'Amsterdam' không?,Yes,"Đúng, Taylor Swift là diễn viên trong phim Amsterdam."
Family,Cha/Mẹ của Armie Hammer là ai?,Michael Armand Hammer,Michael Armand Hammer là cha/mẹ của Armie Hammer.
2-hop_CoActor,Emily Stofle và Barbara Boothe có từng đóng chung phim nào không?,No,"Không, không tìm thấy phim chung nào giữa họ."
1-hop_YesNo,Jeremy Strong có tham gia bộ phim 'Lincoln' không?,Yes,"Đúng, Jeremy Strong là diễn viên trong phim Lincoln."
Family_YesNo,Cher có phải là cha/mẹ của John Sarkisian không?,No,"Sai, Cher là con của John Sarkisian."
1-hop_YesNo,Martha Lynch Levacy có tham gia bộ phim 'Rain Man' không?,No,"Sai, Martha Lynch Levacy không tham gia phim Rain Man."
MCQ_Director,"Ai là đạo diễn của phim 'Men in Black: International'?
A. Ron Howard
B. F. Gary Gray
C. James Nguyen
D. Zoë Kravitz",B,Đạo diễn của 'Men in Black: International' là F. Gary Gray.
1-hop_YesNo,Leonardo DiCaprio có tham gia bộ phim 'Killers of the Flower Moon' không?,Yes,"Đúng, Leonardo DiCaprio là diễn viên trong phim Killers of the Flower Moon."
MCQ_Director,"Ai là đạo diễn của phim 'Everybody Wants Some!!'?
A. Michael Patrick King
B. Brad Bird
C. Richard Linklater
D. Ava DuVernay",C,Đạo diễn của 'Everybody Wants Some!!' là Richard Linklater.
2-hop_CoActor,Kim Cattrall và Cynthia Nixon có từng đóng chung phim nào không?,Yes,"Có, họ cùng đóng trong phim 'Sex and the City'."
Family,Cha/Mẹ của Wang Leehom là ai?,Wang Dazhong,Wang Dazhong là cha/mẹ của Wang Leehom.
1-hop_YesNo,Martha Lynch Levacy có tham gia bộ phim 'Ad Astra' không?,No,"Sai, Martha Lynch Levacy không tham gia phim Ad Astra."
MCQ_Director,"Ai là đạo diễn của phim 'El Mariachi'?
A. Sean Penn
B. Robert Rodriguez
C. John Singleton
D. Shawn Levy",B,Đạo diễn của 'El Mariachi' là Robert Rodriguez.
2-hop_CoActor,Mila Kunis và Terry Gilliam có từng đóng chung phim nào không?,Yes,"Có, họ cùng đóng trong phim 'Jupiter Ascending'."
2-hop_CoActor,Emily Stofle và Aurelia Schwarzenegger có từng đóng chung phim nào không?,No,"Không, không tìm thấy phim chung nào giữa họ."
Family,Cha/Mẹ của Adam Sandler là ai?,Judy Sandler,Judy Sandler là cha/mẹ của Adam Sandler.
2-hop_CoActor,Emily Stofle và Homer Murray có từng đóng chung phim nào không?,No,"Không, không tìm thấy phim chung nào giữa họ."
2-hop_CoActor,Terry Crews và Glen Powell có từng đóng chung phim nào không?,Yes,"Có, họ cùng đóng trong phim 'The Expendables 3'."
Family_YesNo,Julie Delpy có phải là cha/mẹ của Albert Delpy không?,No,"Sai, Julie Delpy là con của Albert Delpy."
Family,Cha/Mẹ của Wyatt Russell là ai?,Goldie Hawn,Goldie Hawn là cha/mẹ của Wyatt Russell.
Family_YesNo,John de Lancie có phải là cha/mẹ của John de Lancie không?,No,"Sai, John de Lancie là con của John de Lancie."
1-hop_YesNo,Martha Lynch Levacy có tham gia bộ phim 'The Terminator' không?,No,"Sai, Martha Lynch Levacy không tham gia phim The Terminator."
1-hop_YesNo,Martha Lynch Levacy có tham gia bộ phim 'Wrong Turn' không?,No,"Sai, Martha Lynch Levacy không tham gia phim Wrong Turn."
Family,Cha/Mẹ của Chris Pine là ai?,Gwynne Gilford,Gwynne Gilford là cha/mẹ của Chris Pine.
2-hop_CoActor,Paul Walter Hauser và Laura Harrier có từng đóng chung phim nào không?,Yes,"Có, họ cùng đóng trong phim 'BlacKkKlansman'."
Family,Cha/Mẹ của Tim Burton là ai?,Jean Rae Erickson,Jean Rae Erickson là cha/mẹ của Tim Burton.
1-hop_YesNo,Danny DeVito có tham gia bộ phim 'The Jewel of the Nile' không?,Yes,"Đúng, Danny DeVito là diễn viên trong phim The Jewel of the Nile."
Family,Cha/Mẹ của Michael Bloomberg là ai?,William Henry Bloomberg,William Henry Bloomberg là cha/mẹ của Michael Bloomberg.
Family_YesNo,Chris Hardwick có phải là cha/mẹ của Billy Hardwick không?,No,"Sai, Chris Hardwick là con của Billy Hardwick."
1-hop_YesNo,Martha Lynch Levacy có tham gia bộ phim 'Red Tails' không?,No,"Sai, Martha Lynch Levacy không tham gia phim Red Tails."
Family,Cha/Mẹ của Bruce Lee là ai?,Grace Ho,Grace Ho là cha/mẹ của Bruce Lee.
2-hop_CoActor,Timothy Olyphant và Joseph Gordon-Levitt có từng đóng chung phim nào không?,Yes,"Có, họ cùng đóng trong phim 'Snowden'."
MCQ_Director,"Ai là đạo diễn của phim 'The Odyssey'?
A. Jodie Foster
B. Neil Burger
C. Christopher Nolan
D. Ray J",C,Đạo diễn của 'The Odyssey' là Christopher Nolan.
Family_YesNo,James Cromwell có phải là cha/mẹ của Kay Johnson không?,No,"Sai, James Cromwell là con của Kay Johnson."
1-hop_YesNo,Jennifer Lawrence có tham gia bộ phim 'Silver Linings Playbook' không?,Yes,"Đúng, Jennifer Lawrence là diễn viên trong phim Silver Linings Playbook."
1-hop_YesNo,Martha Lynch Levacy có tham gia bộ phim 'Interstellar' không?,No,"Sai, Martha Lynch Levacy không tham gia phim Interstellar."
2-hop_CoActor,David Lynch và Kyle MacLachlan có từng đóng chung phim nào không?,Yes,"Có, họ cùng đóng trong phim 'Dune'."
Family_YesNo,Madonna có phải là cha/mẹ của Silvio Ciccone không?,No,"Sai, Madonna là con của Silvio Ciccone."
Family,Cha/Mẹ của Kevin Bacon là ai?,Edmund Bacon,Edmund Bacon là cha/mẹ của Kevin Bacon.
1-hop_YesNo,Mark Moses có tham gia bộ phim 'Bombshell' không?,Yes,"Đúng, Mark Moses là diễn viên trong phim Bombshell."
Family,Cha/Mẹ của Ben Stiller là ai?,Anne Meara,Anne Meara là cha/mẹ của Ben Stiller.
MCQ_Director,"Ai là đạo diễn của phim 'Edward Scissorhands'?
A. Bruce Lee
B. Gore Verbinski
C. Tim Burton
D. Ryan Coogler",C,Đạo diễn của 'Edward Scissorhands' là Tim Burton.
Family,Cha/Mẹ của Ashton Kutcher là ai?,Larry M. Kutcher,Larry M. Kutcher là cha/mẹ của Ashton Kutcher.
1-hop_YesNo,Martha Lynch Levacy có tham gia bộ phim 'Cloud Atlas' không?,No,"Sai, Martha Lynch Levacy không tham gia phim Cloud Atlas."
2-hop_CoActor,Matt Damon và Michael Bloomberg có từng đóng chung phim nào không?,Yes,"Có, họ cùng đóng trong phim 'The Adjustment Bureau'."
Family,Cha/Mẹ của Q463497 là ai?,José Ferrer,José Ferrer là cha/mẹ của Q463497.
1-hop_YesNo,Oliver Stone có tham gia bộ phim 'Wall Street: Money Never Sleeps' không?,Yes,"Đúng, Oliver Stone là diễn viên trong phim Wall Street: Money Never Sleeps."
2-hop_CoActor,Scott Eastwood và Donald Trump có từng đóng chung phim nào không?,Yes,"Có, họ cùng đóng trong phim 'Snowden'."
Family,Cha/Mẹ của Tony Goldwyn là ai?,Jennifer Howard,Jennifer Howard là cha/mẹ của Tony Goldwyn.
1-hop_YesNo,Val Kilmer có tham gia bộ phim 'Heat' không?,Yes,"Đúng, Val Kilmer là diễn viên trong phim Heat."
2-hop_CoActor,Taylor Swift và Whoopi Goldberg có từng đóng chung phim nào không?,Yes,"Có, họ cùng đóng trong phim 'Miss Americana'."
Family_YesNo,Michael Bloomberg có phải là cha/mẹ của William Henry Bloomberg không?,No,"Sai, Michael Bloomberg là con của William Henry Bloomberg."
2-hop_CoActor,Lisa Kudrow và Mandy Moore có từng đóng chung phim nào không?,Yes,"Có, họ cùng đóng trong phim 'Dr. Dolittle 2'."
1-hop_YesNo,Martha Lynch Levacy có tham gia bộ phim 'Shooter' không?,No,"Sai, Martha Lynch Levacy không tham gia phim Shooter."
MCQ_Director,"Ai là đạo diễn của phim 'Once Upon a Time in Hollywood'?
A. Tim Miller
B. Dustin Nguyen
C. Q3772
D. John Francis Daley",C,Đạo diễn của 'Once Upon a Time in Hollywood' là Q3772.
2-hop_CoActor,Allison Janney và Ashley Greene có từng đóng chung phim nào không?,Yes,"Có, họ cùng đóng trong phim 'Bombshell'."
2-hop_CoActor,Emily Stofle và Paris Jackson có từng đóng chung phim nào không?,No,"Không, không tìm thấy phim chung nào giữa họ."
MCQ_Director,"Ai là đạo diễn của phim 'Splash'?
A. Ron Howard
B. Rich Moore
C. James Wan
D. Joe Johnston",A,Đạo diễn của 'Splash' là Ron Howard.
Family,Cha/Mẹ của Nicolas Cage là ai?,August Coppola,August Coppola là cha/mẹ của Nicolas Cage.
Family_YesNo,Jon Turteltaub có phải là cha/mẹ của Saul Turteltaub không?,No,"Sai, Jon Turteltaub là con của Saul Turteltaub."
Family,Cha/Mẹ của Jeff Bridges là ai?,Dorothy Bridges,Dorothy Bridges là cha/mẹ của Jeff Bridges.
Family_YesNo,Randy Savage có phải là cha/mẹ của Angelo Poffo không?,No,"Sai, Randy Savage là con của Angelo Poffo."
1-hop_YesNo,Dania Ramirez có tham gia bộ phim 'Jumanji: The Next Level' không?,Yes,"Đúng, Dania Ramirez là diễn viên trong phim Jumanji: The Next Level."
1-hop_YesNo,Martha Lynch Levacy có tham gia bộ phim 'Blade Runner' không?,No,"Sai, Martha Lynch Levacy không tham gia phim Blade Runner."
Family_YesNo,Jaeden Martell có phải là cha/mẹ của Wes Lieberher không?,No,"Sai, Jaeden Martell là con của Wes Lieberher."
Family,Cha/Mẹ của Brooke Shields là ai?,Teri Shields,Teri Shields là cha/mẹ của Brooke Shields.
2-hop_CoActor,Emily Stofle và Peggy Reavey có từng đóng chung phim nào không?,No,"Không, không tìm thấy phim chung nào giữa họ."
2-hop_CoActor,Beyoncé và Stephen Colbert có từng đóng chung phim nào không?,Yes,"Có, họ cùng đóng trong phim 'Miss Americana'."
2-hop_CoActor,Emily Stofle và Peter Fonda có từng đóng chung phim nào không?,No,"Không, không tìm thấy phim chung nào giữa họ."
Family,Cha/Mẹ của Dylan McDermott là ai?,V,V là cha/mẹ của Dylan McDermott.
MCQ_Director,"Ai là đạo diễn của phim 'Star Wars: Episode II – Attack of the Clones'?
A. George Lucas
B. John Singleton
C. Peyton Reed
D. David O. Russell",A,Đạo diễn của 'Star Wars: Episode II – Attack of the Clones' là George Lucas.
1-hop_YesNo,Mark Moses có tham gia bộ phim 'Letters from Iwo Jima' không?,Yes,"Đúng, Mark Moses là diễn viên trong phim Letters from Iwo Jima."
Family,Cha/Mẹ của Michael Douglas là ai?,Diana Douglas,Diana Douglas là cha/mẹ của Michael Douglas.
1-hop_YesNo,Martin Scorsese có tham gia bộ phim 'Taxi Driver' không?,Yes,"Đúng, Martin Scorsese là diễn viên trong phim Taxi Driver."
2-hop_CoActor,Michael Bloomberg và Cynthia Nixon có từng đóng chung phim nào không?,Yes,"Có, họ cùng đóng trong phim 'Sex and the City'."
2-hop_CoActor,Emily Stofle và Richard Gere có từng đóng chung phim nào không?,No,"Không, không tìm thấy phim chung nào giữa họ."
Family_YesNo,Chris Jericho có phải là cha/mẹ của Ted Irvine không?,No,"Sai, Chris Jericho là con của Ted Irvine."
1-hop_YesNo,Dolph Lundgren có tham gia bộ phim 'The Expendables 2' không?,Yes,"Đúng, Dolph Lundgren là diễn viên trong phim The Expendables 2."
Family_YesNo,Justin Timberlake có phải là cha/mẹ của Lynn Bomar không?,No,"Sai, Justin Timberlake là con của Lynn Bomar."
1-hop_YesNo,Martha Lynch Levacy có tham gia bộ phim 'Virus' không?,No,"Sai, Martha Lynch Levacy không tham gia phim Virus."
1-hop_YesNo,Martha Lynch Levacy có tham gia bộ phim 'It's Not Just You' không?,No,"Sai, Martha Lynch Levacy không tham gia phim It's Not Just You."
2-hop_CoActor,Emily Stofle và Paul Anka có từng đóng chung phim nào không?,No,"Không, không tìm thấy phim chung nào giữa họ."
Family,Cha/Mẹ của Cher là ai?,John Sarkisian,John Sarkisian là cha/mẹ của Cher.
MCQ_Director,"Ai là đạo diễn của phim 'The Passion of the Christ'?
A. F. Gary Gray
B. Mel Gibson
C. Joss Whedon
D. Rich Moore",B,Đạo diễn của 'The Passion of the Christ' là Mel Gibson.
2-hop_CoActor,Stone Cold Steve Austin và Terry Crews có từng đóng chung phim nào không?,Yes,"Có, họ cùng đóng trong phim 'The Expendables'."
Family_YesNo,Jennifer Aniston có phải là cha/mẹ của Nancy Dow không?,No,"Sai, Jennifer Aniston là con của Nancy Dow."
1-hop_YesNo,Martha Lynch Levacy có tham gia bộ phim 'Avengers: Endgame' không?,No,"Sai, Martha Lynch Levacy không tham gia phim Avengers: Endgame."
1-hop_YesNo,Martha Lynch Levacy có tham gia bộ phim 'Video Greatest Hits – HIStory' không?,No,"Sai, Martha Lynch Levacy không tham gia phim Video Greatest Hits – HIStory."
2-hop_CoActor,Emily Stofle và Heather Milligan có từng đóng chung phim nào không?,No,"Không, không tìm thấy phim chung nào giữa họ."
Family,Cha/Mẹ của Stephen Baldwin là ai?,Alexander Baldwin,Alexander Baldwin là cha/mẹ của Stephen Baldwin.
2-hop_CoActor,Taylor Swift và Donald Trump có từng đóng chung phim nào không?,Yes,"Có, họ cùng đóng trong phim 'Miss Americana'."
Family_YesNo,Josh Duhamel có phải là cha/mẹ của Larry Duhamel không?,No,"Sai, Josh Duhamel là con của Larry Duhamel."
2-hop_CoActor,Emily Stofle và Georgina Bloomberg có từng đóng chung phim nào không?,No,"Không, không tìm thấy phim chung nào giữa họ."
MCQ_Director,"Ai là đạo diễn của phim 'The Hunger Games: The Ballad of Songbirds and Snakes'?
A. David Lynch
B. Zoë Kravitz
C. Ben Affleck
D. Francis Lawrence",D,Đạo diễn của 'The Hunger Games: The Ballad of Songbirds and Snakes' là Francis Lawrence.
Family,Cha/Mẹ của Travis Knight là ai?,Phil Knight,Phil Knight là cha/mẹ của Travis Knight.
Family_YesNo,Ethan Hawke có phải là cha/mẹ của James Steven Hawke không?,No,"Sai, Ethan Hawke là con của James Steven Hawke."
1-hop_YesNo,Jimmy Fallon có tham gia bộ phim 'Miss Americana' không?,Yes,"Đúng, Jimmy Fallon là diễn viên trong phim Miss Americana."
MCQ_Director,"Ai là đạo diễn của phim 'Jungle Cruise'?
A. Q3772
B. Jon Favreau
C. Drew Pearce
D. Jaume Collet-Serra",D,Đạo diễn của 'Jungle Cruise' là Jaume Collet-Serra.
2-hop_CoActor,Emily Stofle và Calico Cooper có từng đóng chung phim nào không?,No,"Không, không tìm thấy phim chung nào giữa họ."
Family_YesNo,Sylvester Stallone có phải là cha/mẹ của Jackie Stallone không?,No,"Sai, Sylvester Stallone là con của Jackie Stallone."
1-hop_YesNo,Zazie Beetz có tham gia bộ phim 'Joker' không?,Yes,"Đúng, Zazie Beetz là diễn viên trong phim Joker."
1-hop_YesNo,Matthew McConaughey có tham gia bộ phim 'The Wolf of Wall Street' không?,Yes,"Đúng, Matthew McConaughey là diễn viên trong phim The Wolf of Wall Street."
1-hop_YesNo,Chuck Norris có tham gia bộ phim 'The Expendables 2' không?,Yes,"Đúng, Chuck Norris là diễn viên trong phim The Expendables 2."
1-hop_YesNo,Martha Lynch Levacy có tham gia bộ phim 'Terminator 2: Judgment Day' không?,No,"Sai, Martha Lynch Levacy không tham gia phim Terminator 2: Judgment Day."
MCQ_Director,"Ai là đạo diễn của phim 'The Adventures of Sharkboy and Lavagirl in 3-D'?
A. Frank Oz
B. Sylvester Stallone
C. Shane Black
D. Robert Rodriguez",D,Đạo diễn của 'The Adventures of Sharkboy and Lavagirl in 3-D' là Robert Rodriguez.
2-hop_CoActor,Stephen Root và Jennifer Morrison có từng đóng chung phim nào không?,Yes,"Có, họ cùng đóng trong phim 'Bombshell'."
2-hop_CoActor,Taylor Swift và David Letterman có từng đóng chung phim nào không?,Yes,"Có, họ cùng đóng trong phim 'Miss Americana'."
Family,Cha/Mẹ của Helen Hunt là ai?,Gordon Hunt,Gordon Hunt là cha/mẹ của Helen Hunt.
MCQ_Director,"Ai là đạo diễn của phim 'Transformers: Revenge of the Fallen'?
A. Mel Gibson
B. Richard Kelly
C. Michael Bay
D. Nora Ephron",C,Đạo diễn của 'Transformers: Revenge of the Fallen' là Michael Bay.
MCQ_Director,"Ai là đạo diễn của phim 'Blood Letter'?
A. Victor Vu
B. Sean Penn
C. Michael Patrick King
D. Jordan Peele",A,Đạo diễn của 'Blood Letter' là Victor Vu.
2-hop_CoActor,Emily Stofle và Bernard Neeson có từng đóng chung phim nào không?,No,"Không, không tìm thấy phim chung nào giữa họ."
2-hop_CoActor,Kristin Davis và Jennifer Hudson có từng đóng chung phim nào không?,Yes,"Có, họ cùng đóng trong phim 'Sex and the City'."
MCQ_Director,"Ai là đạo diễn của phim 'Fast & Furious 6'?
A. Tommy Wiseau
B. Wally Pfister
C. Justin Lin
D. Jodie Foster",C,Đạo diễn của 'Fast & Furious 6' là Justin Lin.
2-hop_CoActor,Emily Stofle và Gage Hanks có từng đóng chung phim nào không?,No,"Không, không tìm thấy phim chung nào giữa họ."
MCQ_Director,"Ai là đạo diễn của phim 'The Skulls'?
A. Todd Phillips
B. Rob Cohen
C. Steve Antin
D. M. Night Shyamalan",B,Đạo diễn của 'The Skulls' là Rob Cohen.
2-hop_CoActor,Emily Stofle và Garry Shandling có từng đóng chung phim nào không?,No,"Không, không tìm thấy phim chung nào giữa họ."
Family,Cha/Mẹ của Barbara Hershey là ai?,Melrose Moore,Melrose Moore là cha/mẹ của Barbara Hershey.
2-hop_CoActor,Brooke Smith và Donald Trump có từng đóng chung phim nào không?,Yes,"Có, họ cùng đóng trong phim 'Bombshell'."
Family,Cha/Mẹ của David Arquette là ai?,Lewis Arquette,Lewis Arquette là cha/mẹ của David Arquette.
1-hop_YesNo,Martha Lynch Levacy có tham gia bộ phim 'Rambo: Last Blood' không?,No,"Sai, Martha Lynch Levacy không tham gia phim Rambo: Last Blood."
Family_YesNo,Kevin Bacon có phải là cha/mẹ của Edmund Bacon không?,No,"Sai, Kevin Bacon là con của Edmund Bacon."
MCQ_Director,"Ai là đạo diễn của phim 'Fast Five'?
A. John Singleton
B. George Lucas
C. Neil Burger
D. Justin Lin",D,Đạo diễn của 'Fast Five' là Justin Lin.
Family,Cha/Mẹ của Adrien Brody là ai?,Sylvia Plachy,Sylvia Plachy là cha/mẹ của Adrien Brody.
1-hop_YesNo,Emily Blunt có tham gia bộ phim 'The Adjustment Bureau' không?,Yes,"Đúng, Emily Blunt là diễn viên trong phim The Adjustment Bureau."
2-hop_CoActor,Sylvester Stallone và Ronda Rousey có từng đóng chung phim nào không?,Yes,"Có, họ cùng đóng trong phim 'The Expendables 3'."
2-hop_CoActor,Jim Caviezel và Sylvester Stallone có từng đóng chung phim nào không?,Yes,"Có, họ cùng đóng trong phim 'Escape Plan'."
1-hop_YesNo,Martha Lynch Levacy có tham gia bộ phim 'Toy Soldiers' không?,No,"Sai, Martha Lynch Levacy không tham gia phim Toy Soldiers."
Family,Cha/Mẹ của Geraldine Chaplin là ai?,Charlie Chaplin,Charlie Chaplin là cha/mẹ của Geraldine Chaplin.
Family,Cha/Mẹ của Charlie Carver là ai?,Robert Martensen,Robert Martensen là cha/mẹ của Charlie Carver.
Family,Cha/Mẹ của Owen Wilson là ai?,Laura Wilson,Laura Wilson là cha/mẹ của Owen Wilson.
Family_YesNo,Michael C. Hall có phải là cha/mẹ của William Carlyle Hall không?,No,"Sai, Michael C. Hall là con của William Carlyle Hall."
Family,Cha/Mẹ của Jackie Chan là ai?,Lee-Lee Chan,Lee-Lee Chan là cha/mẹ của Jackie Chan.
1-hop_YesNo,Virginia Madsen có tham gia bộ phim 'Dune' không?,Yes,"Đúng, Virginia Madsen là diễn viên trong phim Dune."
Family_YesNo,Ben Stiller có phải là cha/mẹ của Anne Meara không?,No,"Sai, Ben Stiller là con của Anne Meara."
2-hop_CoActor,Emily Stofle và Maria Shriver có từng đóng chung phim nào không?,No,"Không, không tìm thấy phim chung nào giữa họ."
